,Title,Director,Cast,id,genres,imdb_id,original_language,overview,popularity,poster_path,release_date,runtime,title,vote_average,vote_count
0,Attack: Part 1,Lakshya Raj Anand,"John Abraham,Jacqueline Fernandez,Rakul Preet",799155.0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",tt7529298,hi,"With the Parliament under siege, India’s first super soldier Arjun Shergill is tasked to get hold of the terrorists in the nick of time, save the Prime Minister from their clutches and stop a dirty bomb from exploding and destroying Delhi. Will Arjun succeed in his mission?",7.54,/5jGKbYuZtdxSNOocI6ZziQeiY4n.jpg,2022-04-01,123,Attack,7.2,26
1,Kaun Pravin Tambe?,Jayprad Desai,Shreyas Talpade,946652.0,"[{'id': 18, 'name': 'Drama'}]",tt18568902,hi,Mumbai-born leg-spinner Pravin Tambe made his debut in professional cricket at the age of 41 in the IPL for Rajasthan Royals in 2013 not having played any international or even first-class cricket before that. The story traces the extraordinary journey of Tambe as he became the oldest debutant - at an age when most cricketers have retired or are on the verge of retirement - a modern-day fable of an underdog who fought against his destiny.,3.118,/w6t4nzjbmlGDAYnNvUeo6zxMySC.jpg,2022-04-01,133,Kaun Pravin Tambe?,7.3,10
2,Cobalt Blue,Sachin Kundalkar,"Prateik Babbar,Neelay Mehendale,Anjali Sivaraman,Neil Bhoopalam,Poornima Indrajith",897097.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",tt15314640,hi,"When an aspiring author and his free-spirited sister both fall for the enigmatic paying guest at their home, ensuing events rock their traditional family.",5.029,/59CjIDHHvNyiinRwaSIouWnPNrY.jpg,2022-04-02,112,Cobalt Blue,6.4,18
3,Dasvi,Tushar Jalota,"Abhishek Bachchan,Yami Gautam,Nimrat Kaur",799713.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",tt14107554,hi,"Jailed under a tough cop, an uneducated politician decides to spend his time studying for high school while his scheming wife has plans of her own.",4.485,/zL40soH0AYoBD5BVNu9U2B98ejD.jpg,2022-04-07,127,Dasvi,5.4,18
4,Hurdang,Nikhil Nagesh Bhat,"Sunny Kaushal,Nushrratt Bharuccha,Vijay Varma",809309.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt10919304,hi,"In the 1990s' Allahabad, a brash college student gets drawn into an uproar surrounding a critical bill that will affect India's education system.",3.69,/vcsr4oajxfEMYpjxfgrVfJCbczk.jpg,2022-04-08,122,Hurdang,5.0,2
5,Jersey,Gowtam Tinnanuri,"Shahid Kapoor,Mrunal Thakur,Pankaj Kapur",679018.0,"[{'id': 18, 'name': 'Drama'}]",tt5301942,hi,"An ex-cricketer struggling to make ends meet, wants to fulfill his child's wish of getting an Indian jersey but in the process comes face to face with his heroic past and is forced to decide if he will rise to the occasion and become a symbol of hope or continue to live a life as a loser?",9.077,/ur2D5MXrwBBymQ7DjG0cOFen2yh.jpg,2022-04-22,175,Jersey,7.0,31
6,Operation Romeo,Shashant Shah,"Sidhant Gupta,Vedika Pinto,Sharad Kelkar,Bhumika Chawla,Kishor Kadam",957136.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",tt18923048,hi,Aditya Sharma and Neha Kasliwal are in a relationship which finds itself challenged one night when they’re out on a date and get harassed in the dead of the night by two men posing as policemen. Will the night change the course of their relationship?,1.853,/qTyR9BDP4OCRMYUhHBYszRpFXE1.jpg,2022-04-22,135,Operation Romeo,6.2,5
7,Runway 34,Ajay Devgn,"Amitabh Bachchan,Ajay Devgn,Rakul Preet,Boman Irani",766116.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",tt11460992,hi,"A flying prodigy, Captain Vikrant Khanna's flight takes a stirring and mysterious trajectory after take-off from an international destination. Concurrently, it follows the tenacious Narayan Vedant in his pursuit to uncover the truth.",7.258,/8RlQEuxeRqHh7sWTRswdUC9kP3H.jpg,2022-04-29,141,Runway 34,6.5,33
8,Heropanti 2,Ahmed Khan,"Tiger Shroff,Nawazuddin Siddiqui,Tara Sutaria",678835.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt11873440,hi,"Babloo is a computer genius and Inaaya is a self-made billionaire. The two fall in love but due to unforeseen circumstances they suddenly part ways as the cybercrime lord, Laila wants him dead.",5.625,/cfKTqIwMRYblzesiidC91E1g5Cf.jpg,2022-04-29,142,Heropanti 2,4.8,12
9,Mere Desh Ki Dharti,Faraz Haider,"Anupriya Goenka,Anant Vidhaat,Brijendra Kala",913532.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt12484724,hi,Encompasses the journey of two engineering friends who go on a new adventure in the farming industry.,2.841,/53VStqbu6cS6HlfswFsSe4WMOm1.jpg,2022-05-06,142,Mere Desh Ki Dharti,7.2,3
10,Thar,Raj Singh Chaudhary,"Anil Kapoor,Harshvardhan Kapoor,Fatima Sana",941596.0,"[{'id': 37, 'name': 'Western'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",tt14479746,hi,A mysterious stranger arrives in a village situated in the Thar desert and crosses paths with a veteran cop investigating a case of brutal killings.,4.267,/2PK1WRr8dOF7FG5G4VCal4GcnPT.jpg,2022-05-06,108,Thar,6.4,22
11,Jayeshbhai Jordaar,Divyang Thakkar,"Ranveer Singh,Shalini Pandey,Boman Irani,Ratna Pathak",678999.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",tt10393870,hi,"A non-confrontational Jayesh decides to defy his patriarchal family and flee with his pregnant wife Mudra to save their unborn daughter from foeticide. A screwball, hilarious chase begins as Jayesh's father assembles all his might to nab them. Will this unlikely hero manage to create a safe and equal haven for his daughter?",7.13,/dv93VspYwwNPbvdB0AcddhiDrGU.jpg,2022-05-13,124,Jayeshbhai Jordaar,5.9,16
12,Bhool Bhulaiyaa 2,Anees Bazmee,"Kartik Aaryan,Kiara Advani",695962.0,"[{'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",tt6455162,hi,"When strangers Reet and Ruhan cross paths, their journey leads to an abandoned mansion and a dreaded spirit who has been trapped for 18 years.",8.781,/fw0oMHiMt9qOuKEJEmzFiCNAnXc.jpg,2022-05-20,142,Bhool Bhulaiyaa 2,6.2,52
13,Dhaakad,Razy Ghai,"Kangana Ranaut,Arjun Rampal,Divya Dutta",712863.0,"[{'id': 28, 'name': 'Action'}]",tt10598156,hi,"Special Agent Agni is tasked to find information and eventually, eliminate Rudraveer, an international human trafficker and a coal mafioso. Things turn personal when Agni discovers a truth that connects her to Rudraveer.",6.605,/3YWiiujx2WWyM0caULLHca3j6Gu.jpg,2022-05-20,131,Dhaakad,5.0,9
14,Anek,Anubhav Sinha,Ayushmann Khurrana,888268.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",tt13919802,hi,"Amid the turmoil in northeast India, an undercover agent tasked with peace negotiations crosses paths with a tenacious boxer fighting for her dreams.",5.415,/fIHF8WrZpoomx0QSVTe74NeYGUD.jpg,2022-05-27,146,Anek,6.2,18
15,Samrat Prithviraj,Chandraprakash Dwivedi,"Akshay Kumar,Sanjay Dutt,Sonu Sood,Manushi Chhillar",611598.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",tt9637132,hi,"The true story of legendary Hindu warrior king ""Prithviraj Chauhan"" including his early military successes, love story with Sanyogita & clashes with Muhammad of Ghor, a ruler of the Ghurid dynasty who led the foundation of Muslim rule in the Indian subcontinent.",10.579,/itjop20yizH1cwB44tIo5JivPSq.jpg,2022-06-03,136,Samrat Prithviraj,7.2,13
16,Major[a],Sashi Kiran Tikka,"Adivi Sesh,Sobhita Dhulipala,Saiee Manjrekar,Prakash Raj",84321.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt0172761,hi,Major Jasbir Singh Rana (Amitabh Bachchan) trains cadets to become officers in the national defence academy. A spoilt brat Virendra Pratap Singh (Ajay Devgan) joins the academy. Little does he know the major is a strict disciplinarian who takes a row to straighten him and make him a soldier. Thus starts a war between the two. In the meantime Virendra falls in love with a beautiful girl NISHA (Sonali Bendre) whose marriage was fixed by his father to a wealthy contractor's son. But the girl loves Virendra against her father's will and so starts the fight between Virendra and the girl's father supported by the contractor and his son with gang. Majorsaab helps Virendra to get his love and to change Virendra from spoilt brat to a good and brave soldier.,3.683,/6mS6zYGLA8ObDDRtP5HuI91QWc9.jpg,1998-06-26,165,Major Saab,5.7,11
17,Janhit Mein Jaari,Jai Basantu Singh,Nushrratt Bharuccha,768466.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",tt13534808,hi,"A small-town girl from MP, Manokamna, gets a decent-paying job. But the work requires her to sell condoms. Will she be able to voice her beliefs while balancing her responsibilities and society?",2.397,/foCjFsf4D9M4sy2CcoxnD9RHAOq.jpg,2022-06-10,146,Janhit Mein Jaari,6.8,6
18,Ardh,Palash Muchhal,"Rajpal Yadav,Rubina Dilaik",945324.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",tt20840000,hi,"Shiva struggles to become a mainstream actor in Mumbai despite being a theatre actor. With the help of his wife Madhu, he disguises himself as a transgender and begs for money to survive.",1.52,/oLSgNq1rZw9pBxxfNV8fi5lK290.jpg,2022-06-10,84,Ardh,8.0,1
19,Nikamma,Sabbir Khan,"Abhimanyu Dassani,Shirley Setia,Shilpa Shetty",693841.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",tt10687220,hi,"Nikamma is an action-comedy, which is a remake of 2017 Telugu film film Middle Class Abbayi.",2.52,/gm19HSx2qZI67l9qhcNuCjGSznX.jpg,2022-06-17,147,Nikamma,3.8,4
