,Unnamed: 0,Title,Director,Cast,id,genres,imdb_id,overview,popularity,poster_path,release_date,runtime,title,vote_average,vote_count
0,1,Kaun Pravin Tambe?,Jayprad Desai,Shreyas Talpade,946652.0,Drama,tt18568902,Mumbai-born leg-spinner Pravin Tambe made his debut in professional cricket at the age of 41 in the IPL for Rajasthan Royals in 2013 not having played any international or even first-class cricket before that. The story traces the extraordinary journey of Tambe as he became the oldest debutant - at an age when most cricketers have retired or are on the verge of retirement - a modern-day fable of an underdog who fought against his destiny.,3.118,https://image.tmdb.org/t/p/w500//w6t4nzjbmlGDAYnNvUeo6zxMySC.jpg,2022,2 hrs 13 min,Kaun Pravin Tambe?,7.3,10
1,2,Cobalt Blue,Sachin Kundalkar,Prateik Babbar;Neelay Mehendale;Anjali Sivaraman;Neil Bhoopalam;Poornima Indrajith,897097.0,Romance Drama,tt15314640,When an aspiring author and his free-spirited sister both fall for the enigmatic paying guest at their home  ensuing events rock their traditional family.,5.029,https://image.tmdb.org/t/p/w500//59CjIDHHvNyiinRwaSIouWnPNrY.jpg,2022,1 hrs 52 min,Cobalt Blue,6.4,18
2,3,Dasvi,Tushar Jalota,Abhishek Bachchan;Yami Gautam;Nimrat Kaur,799713.0,Drama Comedy,tt14107554,Jailed under a tough cop  an uneducated politician decides to spend his time studying for high school while his scheming wife has plans of her own.,4.485,https://image.tmdb.org/t/p/w500//zL40soH0AYoBD5BVNu9U2B98ejD.jpg,2022,2 hrs 7 min,Dasvi,5.4,18
3,4,Hurdang,Nikhil Nagesh Bhat,Sunny Kaushal;Nushrratt Bharuccha;Vijay Varma,809309.0,Drama Romance,tt10919304,In the 1990s' Allahabad  a brash college student gets drawn into an uproar surrounding a critical bill that will affect India's education system.,3.69,https://image.tmdb.org/t/p/w500//vcsr4oajxfEMYpjxfgrVfJCbczk.jpg,2022,2 hrs 2 min,Hurdang,5.0,2
4,5,Jersey,Gowtam Tinnanuri,Shahid Kapoor;Mrunal Thakur;Pankaj Kapur,679018.0,Drama,tt5301942,An ex-cricketer struggling to make ends meet  wants to fulfill his child's wish of getting an Indian jersey but in the process comes face to face with his heroic past and is forced to decide if he will rise to the occasion and become a symbol of hope or continue to live a life as a loser?,9.077,https://image.tmdb.org/t/p/w500//ur2D5MXrwBBymQ7DjG0cOFen2yh.jpg,2022,2 hrs 55 min,Jersey,7.0,31
5,6,Operation Romeo,Shashant Shah,Sidhant Gupta;Vedika Pinto;Sharad Kelkar;Bhumika Chawla;Kishor Kadam,957136.0,Drama Thriller,tt18923048,Aditya Sharma and Neha Kasliwal are in a relationship which finds itself challenged one night when they’re out on a date and get harassed in the dead of the night by two men posing as policemen. Will the night change the course of their relationship?,1.853,https://image.tmdb.org/t/p/w500//qTyR9BDP4OCRMYUhHBYszRpFXE1.jpg,2022,2 hrs 15 min,Operation Romeo,6.2,5
6,7,Runway 34,Ajay Devgn,Amitabh Bachchan;Ajay Devgn;Rakul Preet;Boman Irani,766116.0,Thriller Drama,tt11460992,A flying prodigy  Captain Vikrant Khanna's flight takes a stirring and mysterious trajectory after take-off from an international destination. Concurrently  it follows the tenacious Narayan Vedant in his pursuit to uncover the truth.,7.258,https://image.tmdb.org/t/p/w500//8RlQEuxeRqHh7sWTRswdUC9kP3H.jpg,2022,2 hrs 21 min,Runway 34,6.5,33
7,8,Heropanti 2,Ahmed Khan,Tiger Shroff;Nawazuddin Siddiqui;Tara Sutaria,678835.0,Action Drama Romance,tt11873440,Babloo is a computer genius and Inaaya is a self-made billionaire. The two fall in love but due to unforeseen circumstances they suddenly part ways as the cybercrime lord  Laila wants him dead.,5.625,https://image.tmdb.org/t/p/w500//cfKTqIwMRYblzesiidC91E1g5Cf.jpg,2022,2 hrs 22 min,Heropanti 2,4.8,12
8,9,Mere Desh Ki Dharti,Faraz Haider,Anupriya Goenka;Anant Vidhaat;Brijendra Kala,913532.0,Comedy Drama,tt12484724,Encompasses the journey of two engineering friends who go on a new adventure in the farming industry.,2.841,https://image.tmdb.org/t/p/w500//53VStqbu6cS6HlfswFsSe4WMOm1.jpg,2022,2 hrs 22 min,Mere Desh Ki Dharti,7.2,3
9,10,Thar,Raj Singh Chaudhary,Anil Kapoor;Harshvardhan Kapoor;Fatima Sana,941596.0,Western Action Thriller Drama Crime,tt14479746,A mysterious stranger arrives in a village situated in the Thar desert and crosses paths with a veteran cop investigating a case of brutal killings.,4.267,https://image.tmdb.org/t/p/w500//2PK1WRr8dOF7FG5G4VCal4GcnPT.jpg,2022,1 hrs 48 min,Thar,6.4,22
