,Title,genres,poster_path,Score,Fantasy,Adventure,Documentary,Thriller,Drama,War,Romance,Family,Animation,Crime,Mystery,Western,TV Movie,Comedy,Science Fiction,Action,Horror,Music,History
2125,Spider-Man: Into the Spider-Verse,"Action,Adventure,Animation,Science Fiction",/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,0.8302889490983945,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
2913,Interstellar,"Adventure,Drama,Science Fiction",/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,0.8267686548201318,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1981,Avengers: Infinity War,"Adventure,Action,Science Fiction",/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,0.8029762979679096,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1740,Avengers: Endgame,"Adventure,Science Fiction,Action",/or06FN3Dka5tukK1e9sl16pB3iy.jpg,0.7663055289158728,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2900,Whiplash,"Drama,Music",/7fn624j5lj3xTme2SgiLCeuedmO.jpg,0.73737972597638,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2346,Coco,"Family,Animation,Fantasy,Music,Comedy,Adventure",/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg,0.7320157199158575,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
1416,Spider-Man: No Way Home,"Action,Adventure,Science Fiction",/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,0.7315357201682671,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3353,Django Unchained,"Drama,Western",/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,0.7291740730281494,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1093,Avatar: The Way of Water,"Science Fiction,Adventure,Action",/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,0.7222727104313698,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1094,Puss in Boots: The Last Wish,"Animation,Family,Fantasy,Adventure,Comedy",/kuf6dutpsT0vSVehic3EZIqkOBt.jpg,0.7044516105205519,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
2511,Hacksaw Ridge,"Drama,History,War",/jhWbYeUNOA5zAb6ufK6pXQFXqTX.jpg,0.7001136215004643,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
